"Category","Case","Title","Story Points","Priority","Assigned To","Tags","Milestone","Date Opened","Project","Opened By","Salesforce Case","Due Date","HotFix","Resolved By","Original Estimate","Current Estimate","Date Resolved","Date Closed","Subcases","Status"
"Task","39067","Chrome Incentives: Remove GID Population Logic","0","Medium","V-MAX-PRODUCT","ChromeAIR","012 : Database Operations","04/25/17 11:55 PM","012:Database Operations","Tim Muir","","","0","","0","0","","","","Active (Needs Priority)"
"QA Task","39048","DBO: GID Extract File Has Incorrect Internet Price","0","High","Tim Muir","ChromeAIR","012 : Database Operations","04/24/17 10:23 PM","012:Database Operations","Tim Muir","","","0","","0","0","","","","Active (Waiting for Something)"
"Internal Task","24352","Lot.Listing.Vehicle_Interface#LoadFromStaging: Update error handling to avoid silent failure","","Medium","V-DataOps","dbo","012 : Database Operations","12/11/12 03:26 PM","012:Database Operations","Bill Hummel","","","0","","0","0","","","","Active (Needs Priority)"
"Task","27141","Auction: Update Sale Title width to 150 characters to support Pipeline","","Low","V-DataOps","dbo","012 : Database Operations","08/06/13 08:05 PM","012:Database Operations","Bill Hummel","","","0","","4","4","","","","Active (Needs Priority)"
"Internal Task","30041","Speed up dashboard.timetomarket#businessunitreportfetch","","Medium","Zac Brown","dbo","012 : Database Operations","05/28/14 02:06 PM","012:Database Operations","Zac Brown","","","0","","0","0","","","","Active (Needs Priority)"
"Folder","30105","MAX AD: Optimize various procs/queries (parent)","","Medium","Daniel Hillis","","012 : Database Operations","05/30/14 05:29 PM","012:Database Operations","Bill Hummel","","","0","","0","0","","","30041,30042,30043,30044,30392,30553,30657,31263,31447,31455,31696,31702,31717,31807,31812,32594,","Active"
"Bug","31225","SF:101801, Active Unit In Inventory Still Showing In Appraisal Manager","","Medium","V-DataOps","","012 : Database Operations","09/30/14 02:10 PM","012:Database Operations","Bill Rogalla","101801","","0","","0","0","","","","Active (Needs Research)"
"Task","31364","Staging.GetAuto: Remove classic loader, replace with Staging.Listing (ProviderID = 2)","","Medium","Bill Hummel","","012 : Database Operations","10/15/14 03:43 AM","012:Database Operations","Bill Hummel","","","0","","8","8","","","","Active (Needs Priority)"
"Feature","31380","Enhancement Request - Photo Loader By VIN ","","Medium","V-DataOps","","012 : Database Operations","10/15/14 08:24 PM","012:Database Operations","Bill Rogalla","","","0","","0","0","","","","Active (Needs Research)"
"Task","31407","GetAuto Feed -- do we need to process five times per day?","","Medium","V-DataOps","","012 : Database Operations","10/17/14 06:37 PM","012:Database Operations","Bill Hummel","","","0","","4","4","","","","Active (Needs Priority)"
"Task","31408","Review PRODDB02SQL for ""unnamed"" keys/constraints","","Medium","V-DataOps","","012 : Database Operations","10/17/14 06:41 PM","012:Database Operations","Bill Hummel","","","0","","2","2","","","","Active (Needs Priority)"
"Task","31577","Review references to VehicleCatalog.Firstlook.GetVehicleCatalogByVINTrimTransmission","","Medium","Bill Hummel","","012 : Database Operations","11/06/14 04:42 PM","012:Database Operations","Bill Hummel","","","0","","4","4","","","","Active (Needs Priority)"
"Task","31657","VehicleCatalog:  Change Firstlook.VehicleCatalog_ChromeMapping loader to merge from trunc/load","","Medium","Bill Hummel","","012 : Database Operations","11/14/14 02:01 PM","012:Database Operations","Bill Hummel","","","0","","0","0","","","","Active (Needs Priority)"
"Bug","31676","SF:105422, System Performance- Slowness trying to access the MAX Dashboard","","Medium","V-MAX-Engineers","","012 : Database Operations","11/14/14 08:22 PM","012:Database Operations","Derek Zehar","105422","","0","","0","0","","","","Active (Needs Priority)"
"Task","31860","Select from dbo.SoftwareSystemComponentState is slow","","Medium","V-DataOps","","012 : Database Operations","12/08/14 03:12 PM","012:Database Operations","Zac Brown","","","0","","0","0","","","","Active (Needs Priority)"
"Task","32217","DMS-Loader: DBASTAT.dbo.Dataload_ApplyInventoryUpdates LPH Insert Blocking","","Medium","Bill Hummel","","012 : Database Operations","01/23/15 04:04 PM","012:Database Operations","Bill Hummel","","","0","","2","2","","","","Active (Needs Priority)"
"Inquiry","32244","SF 109672 - Missing ""BODY STYLE"" in GID","","Medium","Michael Leddon","","012 : Database Operations","01/27/15 10:50 PM","012:Database Operations","V-DBO-QA","","","0","","0","0","","","","Active"
"Task","32440","RCI: Verify option code, package code, etc.  mappings load to VDS","","Medium","Bill Hummel","","012 : Database Operations","02/16/15 05:51 PM","012:Database Operations","Bill Hummel","","","0","","0","0","","","","Active (Needs Priority)"
"Project","32441","Aultec mappings","","Medium","Elizabeth Wimmer","","012 : Database Operations","02/16/15 06:23 PM","012:Database Operations","Elizabeth Wimmer","","","0","","0","0","","","","Needs Priority"
"Project","32442","Import scrapped filter clauses from aultec and document on mappings ","","Medium","Elizabeth Wimmer","","012 : Database Operations","02/16/15 06:26 PM","012:Database Operations","Elizabeth Wimmer","","","0","","0","0","","","","Needs Priority"
"Task","32664","create list of invalid emails from rptsdeploy","","Medium","Elizabeth Wimmer","","012 : Database Operations","03/06/15 09:10 PM","012:Database Operations","Elizabeth Wimmer","","","0","","0","0","","","","Active (Needs Priority)"
"Task","32733","Create product sales analysis rpt ","","Medium","Elizabeth Wimmer","","012 : Database Operations","03/16/15 01:04 PM","012:Database Operations","Elizabeth Wimmer","","","0","","0","0","","","32995,","Active (Needs Priority)"
"Task","32995","Create Dealer specific rpt for sales analysis ","","Medium","Elizabeth Wimmer","","012 : Database Operations","04/09/15 03:08 PM","012:Database Operations","Elizabeth Wimmer","","","0","","0","0","","","","Active (Needs Priority)"
"Task","33627","Create Market Avg by age buckets rpt for HC","","Medium","Elizabeth Wimmer","","012 : Database Operations","06/10/15 07:36 PM","012:Database Operations","Elizabeth Wimmer","","","0","","0","0","","","","Active (Needs Priority)"
"Task","34011","Inventory Valuation Loader: 95% of rows rejected (DatasourceID = 116)","0","Medium","V-DataOps","","012 : Database Operations","08/03/15 10:05 PM","012:Database Operations","Bill Hummel","","","0","","0","0","","","","Active (Needs Research)"
"Bug","34415","SF:135049, Receiving DPP errors at night- CANX Threat","0","Medium","Bill Rogalla","","012 : Database Operations","09/28/15 08:46 PM","012:Database Operations","Bill Rogalla","135049","","0","","0","0","","","","Active (Needs Research)"
"Inquiry","34580","Rosedale Chevrolet- Request to Add NADA Trade-In to Autouplink USA File","0","Medium","V-DBO-ERequests","","012 : Database Operations","10/22/15 09:57 PM","012:Database Operations","V-DBO-QA","","","0","","0","0","","","","Active"
"Inquiry","34637","Pilson Mattoon Market Listings Issue","0","Medium","V-DBO-ERequests","","012 : Database Operations","11/02/15 04:21 PM","012:Database Operations","V-DBO-QA","","","0","","0","0","","","","Active"
"Feature","34946","SF:143649, Add Z66 Auction to Available Auctions for FL ","0","Medium","V-DataOps","","012 : Database Operations","12/07/15 07:39 PM","012:Database Operations","Bill Rogalla","143649","","0","","0","0","","","","Active (Needs Research)"
"Bug","35011","SF:144412, ""Unknown"" Showing in Trim in FL","0","Medium","V-DataOps","","012 : Database Operations","12/11/15 08:45 PM","012:Database Operations","Bill Rogalla","144412","","0","","0","0","","","","Active (Needs Research)"
"Bug","35113","SF:145413, Manually Created Unit Audit Inquiry","0","Medium","V-DataOps","","012 : Database Operations","12/21/15 03:45 PM","012:Database Operations","Bill Rogalla","145413","","0","","0","0","","","","Active (Needs Research)"
"Bug","35120","SF:145580, Vehicle showing wrong Included engine style in FL NADA","0","Medium","V-DataOps","","012 : Database Operations","12/21/15 08:07 PM","012:Database Operations","Bill Rogalla","145580","","0","","0","0","","","","Active (Needs Research)"
"Bug","35265","SF:147570, Kirk McCard - Email Redistribution Hotsheet Report - Didn't Receive Email - Anderson Mazda","0","Medium","Bill Rogalla","","012 : Database Operations","01/11/16 06:44 PM","012:Database Operations","Bill Rogalla","147570","","0","","0","0","","","","Active (Needs Research)"
"Bug","35283","SF:148341, New Car Price Inquiry - Who Updated a Price","0","Medium","Bill Rogalla","","012 : Database Operations","01/12/16 09:41 PM","012:Database Operations","Bill Rogalla","148341","","0","","0","0","","","","Active (Needs Priority)"
"Task","36216","Review IMT.dbo.GetNewCarOverview","0","Medium","J. Travis Huber","","012 : Database Operations","04/05/16 06:50 PM","012:Database Operations","Bill Hummel","","","0","","0","0","","","","Active (Needs Priority)"
"Task","37094","Update references to VehicleUC in database code base and middle-tier, if required","0","Medium","J. Travis Huber","","012 : Database Operations","07/06/16 04:54 PM","012:Database Operations","Bill Hummel","","","0","","0","0","","","","Active (Needs Priority)"
