"Category","Case","Title","Story Points","Priority","Assigned To","Tags","Milestone","Date Opened","Project","Opened By","Salesforce Case","Due Date","HotFix","Resolved By","Original Estimate","Current Estimate","Date Resolved","Date Closed","Subcases","Status"
"Feature","16614","SF:47980, Autocheck One-Owner Not Populating into MaxAd Preview Text","","High","V-MAX-PRODUCT","roadmap","007 : MAX","07/05/11 06:17 PM","007:MAX","James Pluff","47980","","0","","4","4","","","","Active (Needs Priority)"
"Bug","16793","SF:48564, KBB Value Data Point Does Not Print Dollar Sign, Comma","","Medium","V-MAX-PRODUCT","","007 : MAX","07/14/11 07:24 PM","007:MAX","James Pluff","48564","","0","","16","16","","","18248,","Active (Needs Priority)"
"Bug","19564","SF: 65519, MFW:  Making Market Listings Threshold Settings Work in the PDFs (T10/#10)","750","Low","V-MAX-PRODUCT","","007 : MAX","01/17/12 02:15 PM","007:MAX","Tomer Alpert","65519","","0","","12","12","","","","Active (Duplicate)"
"Task","19903","SF:58242, MAX Ad StandAlone - redirect to MAX automatically","","Low","V-MAX-PRODUCT","roadmap","007 : MAX","02/15/12 05:30 PM","007:MAX","Derek Zehar","58242","","0","","0","0","","","","Active (Needs Priority)"
"Feature","20183","SF:58863, Create indicator differentiating offline vs online (All Inventory Bucket)","","Low","V-MAX-PRODUCT","roadmap","007 : MAX","02/29/12 11:16 PM","007:MAX","Devang Maniar","58863","","0","","6","6","","","","Active (Needs Priority)"
"Task","20219","SF:59070, Request to disable Carfax bucket in 'Low Ad Quality' tab in MaxAd","","Low","V-MAX-PRODUCT","roadmap","007 : MAX","03/05/12 09:53 PM","007:MAX","Brian Ramer","59070","","0","","0","0","","","22535,","Active (Needs Priority)"
"Feature","21960","SF: 59509, Auto Approve Daily Email: Ability to add more than one email address","","Medium","V-MAX-PRODUCT","roadmap","007 : MAX","06/15/12 02:26 PM","007:MAX","Michaela Baker","59509","","0","","8","8","","","","Active (Needs Priority)"
"Bug","21965","SF:63806, ""Dealer Differentiator Heading"" missing from Luxury/Key Features","","Medium","V-MAX-PRODUCT","roadmap","007 : MAX","06/15/12 03:23 PM","007:MAX","Chris Fant","63806","","0","","4","4","","","","Active (Needs Priority)"
"Bug","22480","SF:64943, Request for GID to reference Merchandising","","Medium","V-MAX-PRODUCT","","007 : MAX","07/16/12 08:21 PM","007:MAX","Chris Fant","64943","","0","","76","76","","","22893,","Active (Needs Priority)"
"Task","24669","Allow In-line editing of the Internet Price on the Inventory Page","","Medium","V-MAX-Engineers","","007 : MAX","01/16/13 11:30 PM","007:MAX","Michelle Clay","","","0","","20","20","","","24887,","Active (Ready for Work)"
"Feature","25012","SF:74093, Create New inventory not working","","Medium","V-MAX-PRODUCT","roadmap","007 : MAX","02/12/13 06:11 PM","007:MAX","Chris Fant","74093","","0","","0","0","","","","Active (Needs Priority)"
"Feature","25310","SF:72279, Request to Writeback NEW cars to ADP","","Medium","Chad L Sosna","underconsideration","007 : MAX","03/12/13 03:29 PM","007:MAX","Derek Zehar","","","0","","0","0","","","","Active (Needs Research)"
"Bug","27419","SF:82491, MAX Ad - NEW Units Displaying ""Trade In"" Next to VIN","","Medium","V-MAX-PRODUCT","roadmap","007 : MAX","08/30/13 03:04 PM","007:MAX","Chris Fant","82491","","0","","8","8","","","","Active (Needs Priority)"
"Bug","27968","SF:84882, Trims showing Alabama Plant","","Medium","V-MAX-PRODUCT","roadmap","007 : MAX","10/25/13 03:59 PM","007:MAX","Ben Piskor","84882","","0","","6","6","","","28314,","Active (Needs Priority)"
"Task","28684","New Car Pricing - Add a tab in View Active discounts to show expired discounts","","Medium","V-MAX-Engineers","","007 : MAX","01/08/14 08:37 PM","007:MAX","Michelle Clay","","","0","","24","24","","","","Active (Ready for Work)"
"QA Task","28751","MAX Automation: Create Non-SYSTEM User For Build Server","","Medium","V-MAX-Engineers","","007 : MAX","01/15/14 08:30 PM","007:MAX","Tim Muir","","","0","","0","0","","","","Active (Ready for Work)"
"Bug","28801","User manual pdf in photo manager could not be found","","Medium","V-MAX-Engineers","MaxQAPriority","007 : MAX","01/22/14 03:55 PM","007:MAX","Darren Bokor","95592","","0","","0","0","","","","Active (Needs Estimate)"
"Bug","29204","Selected option package detail text will be cut off if the packages are too long","","Medium","V-MAX-Engineers","MaxQAPriority","007 : MAX","02/19/14 06:44 PM","007:MAX","Becky Song","","","0","","0","0","","","","Active (Needs Estimate)"
"Task","29374","Duplicating attributes in the preview","","Medium","V-MAX-Engineers","","007 : MAX","03/11/14 10:00 PM","007:MAX","Michelle Clay","","","0","","0","0","","","","Active (Ready for Work)"
"Bug","29453","SF:91315, NEW Car Disclaimer - State Compliance Issues","","Medium","V-MAX-PRODUCT","","007 : MAX","03/21/14 02:56 PM","007:MAX","Derek Zehar","91315","","0","","0","0","","","","Active (Needs Priority)"
"Task","29496","Make Print Window Sticker a Bulk Action for the Mobile Showroom Sticker","","Medium","Jeff Tureen","","007 : MAX","03/26/14 09:07 PM","007:MAX","Michelle Clay","","","0","","0","0","","","","Active (Ready for Work)"
"Task","29792","AWS Environment setup","","Medium","Kevin Sisney","","007 : MAX","04/30/14 08:55 PM","007:MAX","J. Travis Huber","","","0","","0","0","","","","Active (Needs Priority)"
"Feature","29819","Expand semantics of ""certified program"" field, convey this to AulTec & eBiz","","Medium","V-MAX-PRODUCT","","007 : MAX","05/02/14 03:17 PM","007:MAX","Zac Brown","","","0","","6","6","","","","Active (Work in Progress)"
"Bug","29860","SF:93655, PMC to MAX Link Not Working","","Medium","V-MAX-PRODUCT","roadmap","007 : MAX","05/07/14 02:45 PM","007:MAX","Derek Zehar","93655","","0","","0","0","","","","Active (Needs Priority)"
"Bug","29953","SF:94107, FirstLook MAX not syncing - 2 hr delay","","Medium","V-MAX-Engineers","roadmap","007 : MAX","05/16/14 06:57 PM","007:MAX","Derek Zehar","94107","","0","","0","0","","","","Active (Ready for Work)"
"Bug","29997","SF:94173, Key Features Header Duplicated in Portion Below Header","","High","V-MAX-PRODUCT","roadmap","007 : MAX","05/21/14 07:19 PM","007:MAX","Derek Zehar","94173","","0","","0","0","","","","Active (Needs Priority)"
"Bug","30316","SF:95416, Custom Previews No Longer Editable - Multiple stores, multiple frameworks","","Medium","V-MAX-PRODUCT","","007 : MAX","06/16/14 09:52 PM","007:MAX","Derek Zehar","95416","","0","","0","0","","","","Active (Needs Priority)"
"Bug","30455","SF:96007, MPG Not Displaying Correctly in MAX AD","","Medium","V-MAX-PRODUCT","roadmap","007 : MAX","07/01/14 03:19 PM","007:MAX","Derek Zehar","96007","","0","","0","0","","","","Active (Needs Priority)"
"Bug","30469","SF:96094, Inquiry/Concern - Invalid Cars Not Bringing Up 'Currently No Vehicles' Message (T10/#13)","","Medium","V-MAX-PRODUCT","","007 : MAX","07/02/14 07:31 PM","007:MAX","Derek Zehar","96094","","0","","0","0","","","","Active (Needs Priority)"
"Task","30538","Add option to default check boxes in Wisconsin Buyer's Guide","","Medium","V-MAX-Engineers","","007 : MAX","07/14/14 10:45 PM","007:MAX","Troy Hemstreet","","","0","","0","0","","","","Active (Ready for Work)"
"Bug","30673","Schedule the Ad and approve it in a single DTC transaction","","Medium","V-MAX-Engineers","","007 : MAX","07/25/14 07:42 PM","007:MAX","Zac Brown","","","0","","0","0","","","","Active (Needs Research)"
"Task","30706","Null Chrome Values -- Ruining Autoload","","Medium","V-MAX-Engineers","","007 : MAX","07/30/14 09:40 PM","007:MAX","Michelle Clay","","","0","","0","0","","","","Active (Ready for Work)"
"Task","30707","Deactivate Twilio after 14 days","","Medium","V-MAX-Engineers","","007 : MAX","07/30/14 09:45 PM","007:MAX","Michelle Clay","","","0","","0","0","","","","Active (Needs Estimate)"
"Task","30708","Convert Admin Pages to MVC4","","Medium","V-MAX-Engineers","","007 : MAX","07/30/14 09:48 PM","007:MAX","Michelle Clay","","","0","","0","0","","","","Active (Needs Estimate)"
"Task","30723","Max: The disclaimer goes out even when there is no ad, impacts TTM","","High","V-MAX-PRODUCT","","007 : MAX","08/01/14 05:31 PM","007:MAX","Christopher Norton","","","0","","0","0","","","","Active (Needs Priority)"
"Inquiry","30748","SF:97895, VIN Decoding Issue - Unit Showing as Hybrid in MAX - Not in Chrome","","Medium","V-MAX-PRODUCT","roadmap","007 : MAX","08/05/14 06:03 PM","007:MAX","V-DBO-ERequests","97895","","0","","0","0","","","","Active (Needs Priority)"
"Inquiry","30764","VIN Decoding Ext. Color Issue - 4JGDA5HB9FA444722","","Medium","V-MAX-PRODUCT","","007 : MAX","08/06/14 10:01 PM","007:MAX","V-DBO-ERequests","","","0","","0","0","","","","Active"
"Inquiry","30830","Interior Color Inquiry- 2008 Ferrari F430","","Medium","V-MAX-PRODUCT","","007 : MAX","08/13/14 06:43 PM","007:MAX","V-DBO-ERequests","","","0","","0","0","","","","Active"
"Bug","30859","SF:98648, MAX Merchandising Undable to Print or Email Carfax VHR - Receiving Error Message","","Medium","V-MAX-PRODUCT","","007 : MAX","08/18/14 06:03 PM","007:MAX","Derek Zehar","98648","","0","","0","0","","","","Active (Needs Research)"
"Inquiry","30957","SF:99190, Renaming of certain factory package code","","Medium","V-MAX-PRODUCT","underconsideration","007 : MAX","08/27/14 06:04 PM","007:MAX","V-DBO-ERequests","99190","","0","","0","0","","","","Active (Needs Priority)"
"Task","30994","AutoApprove Spawning Updates to Pricing via Distribution APIs","","Medium","V-MAX-PRODUCT","","007 : MAX","08/29/14 05:24 PM","007:MAX","Juliana Kennedy","","","0","","0","0","","","","Active (Needs Priority)"
"Task","31036","Max Update Listings SQS needs retention rate set to something smaller","","Medium","V-MAX-PRODUCT","","007 : MAX","09/05/14 08:50 PM","007:MAX","Christopher Norton","","","0","","0","0","","","","Active (Needs Priority)"
"Task","31083","Change the retention period of max-publish-photos-alpha queue in AWS","","Medium","V-MAX-PRODUCT","","007 : MAX","09/11/14 08:50 PM","007:MAX","Darren Bokor","","","0","","0","0","","","","Active (Needs Priority)"
"Bug","31090","SF:100601, Incorrect information in Low Activity Report","","Medium","V-MAX-PRODUCT","","007 : MAX","09/12/14 04:53 PM","007:MAX","Derek Zehar","100601","","0","","0","0","","","","Active (Needs Priority)"
"Bug","31096","Max: Error in Core.Messaging.TaskRunner ""FetchBase"" because password is null","","Medium","V-MAX-PRODUCT","","007 : MAX","09/12/14 07:57 PM","007:MAX","Christopher Norton","","","0","","0","0","","","","Active (Needs Priority)"
"Bug","31099","Max: Invalid length for a Base-64 char array","","Medium","V-MAX-PRODUCT","","007 : MAX","09/12/14 09:24 PM","007:MAX","Christopher Norton","","","0","","0","0","","","","Active (Needs Priority)"
"Task","31101","Credential error during autoload new inventory","","Medium","V-MAX-PRODUCT","","007 : MAX","09/15/14 02:03 PM","007:MAX","Jeff Tureen","","","0","","0","0","","","","Active (Needs Priority)"
"Task","31140","Update text from DMS to DMX in Admin","","Medium","V-MAX-PRODUCT","","007 : MAX","09/18/14 07:57 PM","007:MAX","Chad L Sosna","","","0","","0","0","","","","Active (Needs Priority)"
"Bug","31179","MMS:  Marketing XML is not getting created on auto-approve or approve ","","Medium","V-MAX-PRODUCT","","007 : MAX","09/24/14 01:49 PM","007:MAX","Christopher Norton","","","0","","0","0","","","","Active (Needs Priority)"
"Bug","31180","Bunch o' MMS msg with no vins","","Medium","Kevin Sisney","","007 : MAX","09/24/14 02:41 PM","007:MAX","Christopher Norton","","","0","","0","0","","","","Active (Needs Priority)"
"Task","31195","Ditch ASP.net, move to MVC & Razor.","","Medium","V-MAX-Engineers","","007 : MAX","09/25/14 08:49 PM","007:MAX","Graham Smith","","","0","","0","0","","","","Active (Needs Priority)"
"Bug","31213","Max: ","","Medium","V-MAX-Engineers","","007 : MAX","09/29/14 07:52 PM","007:MAX","Christopher Norton","","","0","","0","0","","","","Active (Needs Research)"
"Task","31216","Time to MAX values in TTM not updating. ","","Medium","V-MAX-Engineers","","007 : MAX","09/29/14 09:44 PM","007:MAX","Chad L Sosna","","","0","","0","0","","","","Active (Needs Research)"
"Bug","31249","Max Stack Trace Alert:  Sequence contains no matching element","","Medium","V-MAX-PRODUCT","MaxQAPriority","007 : MAX","10/03/14 07:14 PM","007:MAX","Christopher Norton","","","0","","0","0","","","","Active (Needs Estimate)"
"Task","31260","Credentials failing in max digital showroom account","","Medium","Kevin Sisney","","007 : MAX","10/06/14 02:35 PM","007:MAX","J. Travis Huber","","","0","","0","0","","","","Active (Needs Research)"
"Inquiry","31310","SF:102406, Innacurate third row seating 2015 EX Kia","","Medium","Chad L Sosna","","007 : MAX","10/08/14 09:46 PM","007:MAX","V-DBO-ERequests","","","0","","0","0","","","","Active"
"Bug","31315","Webloader: photo batches get overwritten","","Medium","V-MAX-PRODUCT","","007 : MAX","10/09/14 02:15 PM","007:MAX","Christopher Norton","","","0","","0","0","","","","Active (Needs Priority)"
"Bug","31316","Change the db input for the webloader table to Mobile 1.5","","Medium","V-MAX-Engineers","","007 : MAX","10/09/14 02:21 PM","007:MAX","Christopher Norton","","","0","","0","0","","","","Active (Needs Estimate)"
"Task","31317","Handle Errors for top 3 spiders","","Medium","V-MAX-Engineers","","007 : MAX","10/09/14 03:46 PM","007:MAX","Chad L Sosna","","","0","","0","0","","","","Active (Ready for Work)"
"Folder","31447","Merchandising.builder.VehicleDetailedOption#Save","","Medium","Jeff Tureen","","007 : MAX","10/22/14 09:13 PM","007:MAX","Kris Franken","","","0","","0","0","","","","Active"
"Task","31469","PLACEHOLDER - Provide TTM Reporting for Non g","","Medium","Michaela Baker","","007 : MAX","10/25/14 03:09 AM","007:MAX","Michaela Baker","","","0","","0","0","","","","Active (Needs Priority)"
"Bug","31486","GM slurpee: vins not getting process into XML","","Medium","V-MAX-PRODUCT","","007 : MAX","10/28/14 08:50 PM","007:MAX","Christopher Norton","","","0","","0","0","","","","Active (Needs Priority)"
"Bug","31531","GM slurpee:  another page to scrape for gmglobalconnect to get MSRP","","Medium","V-MAX-Engineers","","007 : MAX","10/31/14 06:04 PM","007:MAX","Christopher Norton","","","0","","0","0","","","31515,","Active (Ready for Work)"
"Bug","31551","SF: 104572, Group Command Center - MAX tiles return 404 error","","Medium","V-MAX-PRODUCT","roadmap","007 : MAX","11/04/14 03:56 PM","007:MAX","Bill Rogalla","104572","","0","","0","0","","","","Active (Needs Priority)"
"Task","31568","Create API for CPO system","","Medium","V-MAX-Engineers","","007 : MAX","11/05/14 08:36 PM","007:MAX","Daniel Hillis","","","0","","0","0","","","","Active (Needs Requirements)"
"Bug","31573","Autoload spider are not recording lost connection as network error","","Medium","V-MAX-Engineers","","007 : MAX","11/05/14 10:09 PM","007:MAX","Christopher Norton","","","0","","0","0","","","","Active (Ready for Work)"
"Task","31598","Catch no vehicle information when spider return status of 100","","Medium","Jeff Tureen","","007 : MAX","11/10/14 03:48 PM","007:MAX","Jeff Tureen","","","0","","0","0","","","","Active (Ready for Work)"
"Inquiry","31666","FW: WDDHF5KB1FB099668 Not Decoding Option 314    [ ref:_00D00hatC._50000A7Ev9:ref ]","","Medium","V-MAX-DATA-Engineers","","007 : MAX","11/14/14 06:06 PM","007:MAX","V-DBO-QA","","","0","","0","0","","","","Active"
"Task","31669","Modify handling of photo uploads to use batch count for position offset","","Medium","V-MAX-PRODUCT","","007 : MAX","11/14/14 06:44 PM","007:MAX","Arjun Seshadri","","","0","","0","0","","","","Active (Needs Priority)"
"Task","31673","SF 104706- Request to Populate Interior Color Values Based Off Option Package Data","","Medium","V-MAX-PRODUCT","underconsideration","007 : MAX","11/14/14 07:24 PM","007:MAX","James Pluff","104706","","0","","0","0","","","","Active (Needs Priority)"
"Task","31725","Slurpee jobs hanging sporadically","","Medium","V-MAX-PRODUCT","","007 : MAX","11/19/14 07:16 PM","007:MAX","Arjun Seshadri","","","0","","0","0","","","","Active (Needs Priority)"
"Task","31791","Verify/Review GID logic for Certification","","Medium","V-MAX-Engineers","","007 : MAX","12/01/14 05:54 PM","007:MAX","Michaela Baker","","","0","","0","0","","","","Active (Needs Estimate)"
"Task","31826","Add a Car through MAX Mobile Webloader that is not active in DMS","","Medium","V-MAX-Engineers","","007 : MAX","12/03/14 10:15 PM","007:MAX","Michelle Clay","","","0","","0","0","","","","Active (Ready for Work)"
"Bug","31828","MAXAD.FirstLook.Biz Bookout/estock card redirect dead link/error","","Medium","V-MAX-Engineers","","007 : MAX","12/03/14 10:49 PM","007:MAX","Bill Rogalla","","","0","","0","0","","","","Active (Needs Estimate)"
"Task","31882","SF:107261, Request to edit Script of the ""Is This a Good Deal?' button - Cobalt","","Medium","V-MAX-PRODUCT","","007 : MAX","12/09/14 03:39 PM","007:MAX","Bill Rogalla","107261","","0","","0","0","","","","Active (Needs Priority)"
"Task","31885","MAX Ad: html-Like Text Causes Exception","","Medium","V-MAX-PRODUCT","","007 : MAX","12/09/14 04:31 PM","007:MAX","Tim Muir","","","0","","0","0","","","","Active (Needs Priority)"
